ts | lvl | reqid; uid; thread; comp; host; src - log
2026-01-12T00:00:00.001Z | INFO | reqA1b2c3; 1001; main; auth; web-01; AuthCtrl.java:45 - User login successful
2026-01-12T00:00:00.456Z | DEBUG | reqD4e5f6; 2002; worker-1; db; db-02; Database.java:112 - Executing query SELECT * FROM users WHERE id=2002  
2026-01-12T00:00:00.899Z | WARN | reqG7h8i9; 3003; main; cache; cache-01; Cache.java:58 - Cache miss for key user:3003  
2026-01-12T00:00:01.340Z | ERROR | reqJ0k1l2; 4004; worker-2; payment; pay-01; PaymentProc.java:210; err=E402; stack=java.lang.IllegalArgumentException: Invalid card number - Payment failed  
2026-01-12T00:00:01.799Z | INFO | reqM3n4o5; 5005; main; order; web-02; OrderCtrl.java:77 - Order created orderId=O12345  
2026-01-12T00:00:02.250Z | DEBUG | reqP6q7r8; 6006; worker-3; msgQueue; msg-01; Queue.java:33 - Enqueued message type=EmailRecipientId=6006  
2026-01-12T00:00:02.705Z | INFO | reqS9t0u1; 7007; main; auth; web-01; AuthCtrl.java:48 - User logout successful  
2026-01-12T00:00:03.150Z | WARN | reqV2w3x4; 8008; worker-1; apiGw; gw-01; Gateway.java:101 - Rate limit exceeded for IP 192.168.1.10  
2026-01-12T00:00:03.599Z | ERROR | reqY5z6a7; 9009; main; storage; storage-01; FileStore.java:77; err=E501 - Disk write failed  
2026-01-12T00:00:04.040Z | INFO | reqB8c9d0; 10010; worker-2; notify; notif-01; Notifier.java:44 - Notification sent channel=SMS  
2026-01-12T00:00:04.489Z | DEBUG | reqE1f2g3; 11011; main; auth; web-01; TokenValidator.java:22 - Validating JWT token  
2026-01-12T00:00:04.945Z | INFO | reqH4i5j6; 12012; worker-3; profile; profile-01; ProfileUpd.java:88 - Profile picture updated  
2026-01-12T00:00:05.399Z | WARN | reqK7l8m9; 13013; main; cache; cache-01; Cache.java:62 - Cache eviction triggered size=1024  
2026-01-12T00:00:05.844Z | ERROR | reqN0o1p2; 14014; worker-1; payment; pay-01; PaymentProc.java:215; err=E408; stack=java.net.SocketTimeoutException: Read timed out - Payment gateway timeout  
2026-01-12T00:00:06.299Z | INFO | reqQ3r4s5; 15015; main; order; web-02; OrderCtrl.java:85 - Order shipped orderId=O12346  
2026-01-12T00:00:06.745Z | DEBUG | reqT6u7v8; 16016; worker-2; analytics; analytics-01; Tracker.java:55 - Tracking event EVENT_LOGIN userId=16016  
2026-01-12T00:00:07.199Z | INFO | reqW9x0y1; 17017; main; auth; web-01; AuthCtrl.java:52 - Password change successful  
2026-01-12T00:00:07.644Z | WARN | reqZ2a3b4; 18018; worker-3; apiGw; gw-01; Gateway.java:108 - Backend returned 502 Bad Gateway  
2026-01-12T00:00:08.099Z | ERROR | reqC5d6e7; 19019; main; db; db-02; Database.java:130; err=E503; stack=org.postgresql.util.PSQLException: Could not serialize access due to read/write conflict - Transaction rollback  
2026-01-12T00:00:08.544Z | INFO | reqF8g9h0; 20020; worker-1; notify; notif-01; Notifier.java:48 - Email sent to user@example.com  
2026-01-12T00:00:08.999Z | DEBUG | reqI1j2k3; 21021; main; cache; cache-01; Cache.java:70 - Refreshing cache entry key=user:21021  
2026-01-12T00:00:09.444Z | INFO | reqL4m5n6; 22022; worker-2; profile; profile-01; ProfileUpd.java:95 - Updated user preferences  
2026-01-12T00:00:09.899Z | WARN | reqO7p8q9; 23023; main; auth; web-01; AuthCtrl.java:60 - Multiple failed login attempts  
2026-01-12T00:00:10.340Z | ERROR | reqR0s1t2; 24024; worker-3; payment; pay-01; PaymentProc.java:220; err=E403; stack=java.lang.RuntimeException: Insufficient funds - Payment declined  
2026-01-12T00:00:10.795Z | INFO | reqU3v4w5; 25025; main; order; web-02; OrderCtrl.java:92 - Order cancelled orderId=O12347  
2026-01-12T00:00:11.240Z | DEBUG | reqX6y7z8; 26026; worker-1; msgQueue; msg-01; Queue.java:45 - Dequeued message id=msg-1024  
2026-01-12T00:00:11.685Z | INFO | reqA9b0c1; 27027; main; auth; web-01; AuthCtrl.java:66 - Two‑factor authentication succeeded  
2026-01-12T00:00:12.130Z | WARN | reqD2e3f4; 28028; worker-2; apiGw; gw-01; Gateway.java:115; latencyMs=1250 - High latency detected  
2026-01-12T00:00:12.575Z | ERROR | reqG5h6i7; 29029; main; storage; storage-01; FileStore.java:84; err=E502; stack=java.io.IOException: Permission denied - Unable to delete file  
2026-01-12T00:00:13.020Z | INFO | reqJ8k9l0; 30030; worker-3; notify; notif-01; Notifier.java:52 - Push notification delivered deviceId=dev-30030  
2026-01-12T00:00:13.465Z | DEBUG | reqM1n2o3; 31031; main; auth; web-01; TokenValidator.java:30 - Token signature verified  
2026-01-12T00:00:13.910Z | INFO | reqP4q5r6; 32032; worker-1; profile; profile-01; ProfileUpd.java:102 - Updated email address  
2026-01-12T00:00:14.355Z | WARN | reqS7t8u9; 33033; main; cache; cache-01; Cache.java:78 - Cache size approaching limit currentSize=9500 maxSize=10000  
2026-01-12T00:00:14.800Z | ERROR | reqV0w1x2; 34034; worker-2; payment; pay-01; PaymentProc.java:225; err=E500; stack=java.lang.IllegalStateException: Gateway error - Payment gateway internal error  
2026-01-12T00:00:15.245Z | INFO | reqY3z4a5; 35035; main; order; web-02; OrderCtrl.java:106 - Order delivered orderId=O12348  
2026-01-12T00:00:15.690Z | DEBUG | reqB6c7d8; 36036; worker-3; analytics; analytics-01; Tracker.java:60 - Tracking event EVENT_PURCHASE userId=36036 amount=99.99  
2026-01-12T00:00:16.135Z | INFO | reqE9f0g1; 37037; main; auth; web-01; AuthCtrl.java:72 - User password reset requested  
2026-01-12T00:00:16.580Z | WARN | reqH2i3j4; 38038; worker-1; apiGw; gw-01; Gateway.java:122 - Backend service unavailable retrying  
2026-01-12T00:00:17.025Z | ERROR | reqK5l6m7; 39039; main; db; db-02; Database.java:140; err=E504; stack=org.postgresql.util.PSQLException: deadlock detected - Deadlock detected  
2026-01-12T00:00:17.470Z | INFO | reqN8o9p0; 40040; worker-2; notify; notif-01; Notifier.java:56 - SMS sent to +1234567890  
2026-01-12T00:00:17.915Z | DEBUG | reqQ1r2s3; 41041; main; cache; cache-01; Cache.java:86 - Refreshing stale entry key=product:41041  
2026-01-12T00:00:18.360Z | INFO | reqT4u5v6; 42042; worker-3; profile; profile-01; ProfileUpd.java:108 - Updated phone number  
2026-01-12T00:00:18.805Z | WARN | reqW7x8y9; 43043; main; auth; web-01; AuthCtrl.java:78 - Suspicious login location detected  
2026-01-12T00:00:19.250Z | ERROR | reqZ0a1b2; 44044; worker-1; payment; pay-01; PaymentProc.java:230; err=E405; stack=java.lang.SecurityException: Fraud suspect - Fraud detection triggered  
2026-01-12T00:00:19.695Z | INFO | reqC3d4e5; 45045; main; order; web-02; OrderCtrl.java:112 - Order returned orderId=O12349  
2026-01-12T00:00:20.140Z | DEBUG | reqF6g7h8; 46046; worker-2; msgQueue; msg-01; Queue.java:55 - Message re‑queued id=msg-2048 reason=Timeout  
2026-01-12T00:00:20.585Z | INFO | reqI9j0k1; 47047; main; auth; web-01; AuthCtrl.java:84 - User session refreshed  
2026-01-12T00:00:21.030Z | WARN | reqL2m3n4; 48048; worker-3; apiGw; gw-01; Gateway.java:129; latencyMs=2100 - High latency on service=inventory  
2026-01-12T00:00:21.475Z | ERROR | reqO5p6q7; 49049; main; storage; storage-01; FileStore.java:98; err=E503; stack=java.io.IOException: No space left on device - Disk quota exceeded  
2026-01-12T00:00:21.920Z | INFO | reqR8s9t0; 50050; worker-1; notify; notif-01; Notifier.java:60 - Email bounce detected recipient=user@example.com  
2026-01-12T00:00:22.365Z | DEBUG | reqU1v2w3; 51051; main; auth; web-01; TokenValidator.java:38 - Token expiration checked, remainingMs=45000  
2026-01-12T00:00:22.810Z | INFO | reqX4y5z6; 52052; worker-2; profile; profile-01; ProfileUpd.java:115 - Updated mailing address  
2026-01-12T00:00:23.255Z | WARN | reqA7b8c9; 53053; main; cache; cache-01; Cache.java:94 - Cache cleanup started  
2026-01-12T00:00:23.700Z | ERROR | reqD0e1f2; 54054; worker-3; payment; pay-01; PaymentProc.java:235; err=E406; stack=java.lang.IllegalArgumentException: Expired card - Card expired  
